,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
m1,,,,,,,,,,,,,,,,,0.4811,0.2856,0.2609,0.0546,0.0282,,,0.9842,1.0689,0.6083,0.3518,0.1393,,,0.9421,0.6373,0.9804,0.5611,0.3825,,,0.115,0.2151,0.3275,0.8647,0.4536,,,0.0103,0.0148,0.0388,0.0788,0.0
m2,,,,,,,,,,,,,,,,,0.6895,0.3668,0.2892,0.0625,0.217,,,1.2643,1.474,0.748,0.3837,0.3026,,,1.044,0.7835,0.8835,0.4433,0.3457,,,0.1316,0.2346,0.2587,0.5297,0.3532,,,0.0794,0.0321,0.035,0.0613,0.0738
m3,,,,,,,,,,,,,,,,,0.547,0.3959,0.3425,0.1238,0.0728,,,1.3644,1.4275,0.9209,1.2594,1.092,,,1.2364,0.9647,1.1986,0.89,0.5579,,,0.2609,0.77,0.5195,0.855,0.8912,,,0.0267,0.116,0.0566,0.1548,0.1365
m4,,,,,,,,,,,,,,,,,0.7001,0.4268,0.333,0.1148,0.0846,,,1.471,1.901,1.067,0.743,0.5949,,,1.2021,1.1177,1.4603,0.6445,0.5363,,,0.2419,0.4543,0.3762,0.7164,0.5988,,,0.0309,0.0632,0.0544,0.104,0.0407
m5,,,,,,,,,,,,,,,,,1.249,0.7412,0.6125,0.404,0.4419,,,2.5547,1.6873,1.1983,0.718,0.3659,,,2.2113,1.2552,1.3159,0.7886,0.4483,,,0.8514,0.439,0.4603,1.0528,0.7301,,,0.1617,0.0389,0.0454,0.1268,0.0386
m6,,,,,,,,,,,,,,,,,1.0311,0.4155,0.488,0.3219,0.125,,,1.4322,1.6768,1.1747,0.8848,1.075,,,1.7618,1.2305,1.4645,1.21,1.399,,,0.6784,0.541,0.7062,1.09,1.2654,,,0.0458,0.1142,0.1418,0.2198,0.1183
m7,,,,,,,,,,,,,,,,,0.9564,0.6424,0.5585,0.1735,0.1099,,,2.2139,1.9651,1.4749,1.0741,0.8095,,,2.0162,1.545,1.3626,0.8056,0.1837,,,0.3655,0.6567,0.4702,0.8945,0.7812,,,0.0402,0.086,0.0186,0.1357,0.0496
m8,,,,,,,,,,,,,,,,,0.6797,0.3657,0.2613,0.2448,0.1172,,,1.2603,0.8996,0.7844,0.5661,0.6205,,,0.9433,0.8216,0.9675,0.6439,0.5455,,,0.5159,0.3461,0.3758,0.7578,0.7854,,,0.0429,0.0659,0.0553,0.1364,0.0842
m9,2.0507,0.8372,0.2654,0.4743,0.1465,0.1155,0.0323,0.3639,0.3582,0.2822,0.1325,0.0857,0.0233,0.0484,0.1506,0.3685,0.7139,0.5712,0.3696,0.3566,0.2842,0.9277,0.5962,1.9685,2.4508,1.4941,1.0732,0.7338,0.3001,0.4042,1.3345,1.5651,1.0861,0.8286,0.4575,0.1382,0.0641,0.7514,0.6562,0.4836,0.3853,0.2925,0.0067,0.0231,0.104,0.0779,0.0464,0.0508,0.0645
m10,2.7927,0.9608,0.5845,0.5555,0.1865,0.1043,0.0372,0.4176,0.8971,0.3301,0.252,0.0805,0.0268,0.0,0.3317,0.431,0.5901,0.4239,0.3359,0.2357,0.1461,1.0865,1.1339,1.461,1.6303,1.2774,0.8757,0.4891,0.3821,0.3793,1.2127,1.3381,1.2823,1.2462,0.9153,0.1247,0.0737,0.4966,0.5354,0.7274,0.5259,0.5439,0.0077,0.0,0.0535,0.0519,0.0928,0.0945,0.0377
m11,2.0756,1.25,0.1884,0.3668,0.1548,0.1117,0.0201,0.5433,0.5729,0.2788,0.2033,0.091,0.0202,0.0201,0.1069,0.364,1.1,0.5209,0.479,0.9354,0.6394,0.7173,0.9148,1.7954,1.8902,1.3122,0.9449,0.6328,0.317,0.4289,1.7293,1.3745,1.1674,0.9651,0.4922,0.1336,0.0556,1.971,0.5777,0.5633,0.5159,0.3164,0.0042,0.0096,0.234,0.0672,0.0499,0.055,0.0
m12,3.3477,0.407,0.2203,0.6598,0.2078,0.1003,0.0346,0.1769,1.0082,0.3062,0.1177,0.1831,0.0331,0.0,0.125,0.3998,0.3284,0.234,0.3476,0.2532,0.1434,1.2904,0.5295,0.8063,1.2728,1.0287,0.5593,0.4386,0.4256,0.8629,1.2549,1.0776,1.1948,0.833,0.5415,0.1199,0.0911,0.5336,0.342,0.4862,0.4451,0.3969,0.0072,0.0,0.0525,0.0466,0.0549,0.0689,0.0
m13,9.7968,1.4528,0.5094,1.1788,0.4543,0.1612,0.0,0.6314,3.7091,0.4592,0.2541,0.3235,0.0835,0.0468,0.289,0.5995,0.9874,0.5818,0.5036,0.3688,0.3019,2.3055,1.1433,2.0053,1.6386,0.8638,0.6909,0.6092,0.9307,1.5251,1.8182,0.9048,0.7287,0.404,0.2828,0.1928,0.2298,0.7772,0.4224,0.2358,0.8328,0.553,0.0,0.0223,0.1105,0.0647,0.0287,0.096,0.0
m14,6.0587,0.3189,0.5063,0.4439,0.1879,0.0402,0.0893,0.1386,2.2193,0.2596,1.1968,0.2888,0.0126,0.0325,0.2873,0.3389,0.6067,0.351,0.3332,0.2855,0.2693,0.868,5.3854,1.2096,0.7093,1.0758,0.3161,0.095,0.385,1.3613,1.2031,1.1269,0.655,0.3228,0.3078,0.0481,0.0348,0.6015,0.1932,0.1884,0.3834,0.3887,0.0185,0.0155,0.0986,0.0101,0.0312,0.0675,0.0
m15,7.3611,0.6303,1.0888,0.5711,0.3526,0.1748,0.1952,0.274,4.3527,0.2293,0.4404,0.3239,0.0388,0.0146,0.6178,0.2994,0.4918,0.2662,0.4017,0.1309,0.1115,1.1169,1.9817,0.9174,1.0083,1.3663,0.8659,0.4606,0.7224,1.527,1.4501,1.4312,1.7129,1.0375,1.1421,0.209,0.1069,0.2759,0.5294,0.6056,0.7886,0.7032,0.0405,0.007,0.0408,0.0489,0.1158,0.1221,0.0
m16,5.0187,0.6752,0.262,0.5532,0.4439,0.0762,0.0,0.2935,0.9078,0.1472,0.1473,0.1688,0.0285,0.0,0.1487,0.1922,0.5413,0.2886,0.3522,0.4959,0.3025,1.0819,0.6627,0.9948,1.0394,0.7246,0.3824,0.4169,0.9094,0.7957,1.2716,0.759,1.0214,0.7439,0.8174,0.0911,0.0785,1.045,0.2338,0.4342,0.6596,0.4596,0.0,0.0,0.1107,0.0443,0.0829,0.0798,0.0
m17,8.2082,0.3328,0.0839,0.4295,0.2224,0.1087,0.0,0.1447,2.1964,0.3545,0.2829,0.1367,0.0131,0.0,0.0476,0.4629,0.3469,0.1946,0.2235,0.0654,0.0279,0.84,1.2732,0.6705,0.8,0.5016,0.311,0.4175,0.4556,0.6445,0.8069,0.5254,0.6818,0.3898,0.1068,0.1299,0.0359,0.1377,0.1901,0.2275,0.3397,0.5076,0.0,0.0,0.0102,0.0443,0.0108,0.0882,0.0
m18,5.6083,0.8752,0.2982,0.5506,0.2573,0.147,0.0645,0.3804,2.6546,0.2448,0.2153,0.1828,0.0395,0.0,0.1692,0.3197,0.4843,0.2999,0.2751,0.0515,0.1194,1.0769,0.9688,1.0336,1.6115,1.0801,0.7721,0.7639,0.5272,0.8617,0.9932,1.1314,1.0902,0.8826,0.9599,0.1757,0.1087,0.1085,0.4721,0.5151,0.7051,0.6986,0.0134,0.0,0.0437,0.0811,0.0973,0.1213,0.0
m19,1.8746,0.4485,0.2166,0.4452,0.2425,0.13,0.1893,0.1949,0.9018,0.1466,0.1479,0.1507,0.112,0.0643,0.1229,0.1914,0.3086,0.2769,0.2651,0.0517,0.0848,0.8707,0.6657,0.9543,0.9412,0.8558,0.4661,0.3561,0.4969,0.7105,0.9572,0.8964,1.0325,0.7253,0.7105,0.1555,0.3081,0.1089,0.285,0.4234,1.6171,0.8823,0.0393,0.0308,0.031,0.0378,0.072,0.1532,0.0258
m20,2.386,0.8021,0.0829,0.6857,0.2398,0.17,0.0224,0.3486,0.555,0.168,0.2444,0.1638,0.0794,0.0576,0.047,0.2194,0.5305,0.2798,0.2887,0.0782,0.0695,1.3411,1.0995,0.9643,1.1957,0.8898,0.7251,0.6954,0.4912,0.772,1.0421,0.9321,0.9277,0.807,0.3913,0.2033,0.2184,0.1649,0.4433,0.471,0.5995,0.5411,0.0047,0.0275,0.0254,0.0738,0.0397,0.094,0.047
m21,5.5811,0.7535,0.3611,0.6775,0.3058,0.1006,0.3588,0.3275,1.9229,0.1477,0.4458,0.3233,0.0948,0.0238,0.2049,0.1928,0.4265,0.2403,0.2387,0.1425,0.2208,1.325,2.0061,0.8283,1.0092,0.7425,0.4329,0.4136,0.6266,1.5239,0.8619,0.7778,0.7752,0.4277,0.6095,0.1203,0.2609,0.3004,0.2647,0.2496,0.846,0.5131,0.0745,0.0114,0.0808,0.0439,0.0618,0.0891,0.0287
m22,5.7988,0.9256,0.3808,0.7165,0.3042,0.1099,0.0671,0.4023,3.3535,0.3646,0.2757,0.1862,0.0504,0.0439,0.2161,0.476,0.8709,0.3984,0.3712,0.1334,0.1391,1.4012,1.2406,1.373,1.7532,1.3201,0.881,0.861,0.6233,0.8775,1.3402,1.3828,1.2015,0.8506,0.9648,0.1315,0.1387,0.2812,0.5387,0.4965,0.5201,0.6151,0.0139,0.021,0.0509,0.0914,0.0978,0.1068,0.0735
m23,5.4011,1.2081,0.3525,0.6118,0.2787,0.1216,0.0,0.525,2.7853,0.2224,0.6101,0.1601,0.0634,0.0917,0.2,0.2904,0.5442,0.2922,0.2963,0.0328,0.0087,1.1966,2.7454,1.0069,1.0687,0.8757,0.396,0.3384,0.571,0.7547,1.0698,0.9173,1.004,0.8931,0.5504,0.1454,0.1745,0.0691,0.2421,0.5213,0.6656,0.5158,0.0,0.0438,0.0032,0.0359,0.0558,0.0896,0.0
m24,5.2569,0.9987,0.285,0.5676,0.303,0.18,0.0408,0.434,2.3677,0.1962,0.1729,0.3813,0.1085,0.0312,0.1617,0.2562,0.5384,0.2793,0.322,0.133,0.0589,1.11,0.778,0.9626,1.2667,0.8907,0.8271,0.5293,0.6208,1.7972,1.1627,0.9331,0.9376,0.9648,0.4881,0.2152,0.2986,0.2802,0.5057,0.5631,1.0941,0.7502,0.0085,0.0149,0.0216,0.0562,0.0495,0.1303,0.0384
m25,10.775,0.9938,1.1411,0.9759,0.4256,0.4956,0.765,0.4319,1.3191,0.2556,0.6888,0.1583,0.1453,0.1877,0.6475,0.3337,1.6073,0.4307,0.2521,0.0808,0.0159,1.9086,3.0995,1.4846,1.2707,0.7641,1.1275,1.0573,0.8718,0.7462,0.91,0.8004,0.832,0.6593,0.5276,0.5926,0.3997,0.1703,0.6893,0.3848,1.1143,0.7619,0.1589,0.0897,0.0058,0.1123,0.0535,0.1323,0.1593
m26,2.0876,0.7796,0.299,0.6741,0.2316,0.1571,0.0814,0.3388,1.3493,0.1679,0.2722,0.1661,0.0838,0.0341,0.1697,0.2193,0.8841,0.4103,0.3801,0.2184,0.0758,1.3183,1.225,1.414,1.6014,1.055,1.0768,0.7302,0.4745,0.7831,1.3721,1.1051,1.0077,0.8007,0.4011,0.1879,0.2306,0.4602,0.6583,0.4674,1.06,0.7228,0.0169,0.0163,0.0278,0.0775,0.0407,0.1255,0.0623
m27,4.3936,0.7231,0.1479,0.5427,0.2835,0.2129,0.0935,0.3143,1.5256,0.1982,0.202,0.2223,0.0711,0.0298,0.0839,0.2587,0.8105,0.4104,0.3158,0.1602,0.0111,1.0614,0.909,1.4144,1.5264,1.086,0.6325,0.3057,0.5807,1.0479,1.1402,1.1377,1.1562,0.9713,0.6533,0.2545,0.1957,0.3375,0.3867,0.5669,1.0228,0.7111,0.0194,0.0142,0.0041,0.0325,0.0662,0.1235,0.0373
m28,1.4319,0.5703,0.3301,0.6507,0.2415,0.256,0.2337,0.2479,0.7201,0.1713,0.2644,0.2207,0.1333,0.1124,0.1873,0.2237,0.5188,0.3342,0.3299,0.277,0.2762,1.2726,1.1898,1.1517,1.5806,1.1054,1.401,0.9895,0.4948,1.0404,1.1909,1.158,1.2787,1.4023,0.8238,0.3061,0.3668,0.5838,0.8566,0.8185,1.2108,0.9502,0.0485,0.0537,0.1011,0.1051,0.0835,0.165,0.0
m29,1.3814,0.5102,0.4345,0.5467,0.2138,0.1177,0.061,0.2218,0.5017,0.1423,0.3014,0.1607,0.083,0.0407,0.2466,0.1858,0.2934,0.4145,0.2616,0.3047,0.1601,1.0692,1.3564,1.4286,1.913,1.1604,0.8109,0.5426,0.4381,0.7575,0.9443,1.2156,0.8121,0.8235,0.6009,0.1408,0.2282,0.6422,0.4958,0.4806,0.8991,0.6431,0.0127,0.0194,0.0586,0.0576,0.0609,0.1117,0.0606
m30,3.0954,0.6508,0.6418,0.954,0.6871,0.216,1.336,0.2829,2.6877,0.2286,0.2175,0.3308,0.0486,1.701,0.3642,0.2985,0.4061,0.2798,0.2678,0.0871,0.0877,1.8658,0.9787,0.9642,1.4606,1.0578,0.6144,0.5708,1.4077,1.5594,0.9668,1.108,1.3392,0.8191,0.8687,0.2583,0.1336,0.1835,0.3756,0.4781,0.8941,0.8069,0.2775,0.8128,0.0321,0.0606,0.0881,0.1402,0.1094
m31,8.1794,0.6339,0.2037,0.6783,0.3884,0.2008,0.0333,0.2755,4.7395,0.4386,0.5916,0.2797,0.1382,0.0434,0.1156,0.5726,0.3083,0.3812,0.249,0.1245,0.1427,1.3265,2.662,1.3137,2.0569,1.3111,0.992,0.8461,0.7956,1.3184,0.8989,1.3734,1.1606,0.7436,0.3492,0.2401,0.3803,0.2624,0.6065,0.434,1.1884,1.0592,0.0069,0.0207,0.0522,0.0899,0.0354,0.184,0.1662
m32,4.024,0.7923,0.2076,0.5455,0.2343,0.1317,0.1503,0.3443,2.6469,0.1558,0.1944,0.1734,0.0765,0.0498,0.1178,0.2035,0.7046,0.3994,0.5437,0.2058,0.0324,1.0669,0.8749,1.3766,1.1022,1.138,0.7697,0.4274,0.48,0.8174,1.963,1.192,1.7872,1.2066,0.477,0.1575,0.2103,0.4338,0.4706,0.7043,0.9486,0.7359,0.0312,0.0238,0.0119,0.0454,0.0484,0.1278,0.0649
m33,4.8782,0.6028,0.2486,0.5773,0.2856,0.1163,0.0166,0.262,4.5061,0.2076,0.4821,0.2548,0.0496,0.0703,0.1411,0.271,0.8874,0.5108,0.4225,0.0818,0.0505,1.1291,2.1695,1.7606,1.7833,1.1613,1.091,0.5349,0.5852,1.2008,1.5253,1.2165,0.9767,0.8607,0.5276,0.139,0.1364,0.1724,0.667,0.5023,1.045,0.7072,0.0035,0.0336,0.0185,0.0568,0.0535,0.1228,0.0333
m34,5.7211,0.5988,0.2855,0.7433,0.3782,0.1176,0.2584,0.2603,3.75,0.2648,0.6148,0.2352,0.043,0.0578,0.162,0.3457,0.3984,0.3741,0.2437,0.0831,0.059,1.4536,2.7667,1.2893,1.4713,1.0485,0.8409,0.8958,0.7748,1.1087,0.8798,1.0983,0.8723,0.6358,0.5574,0.1407,0.1183,0.1752,0.5141,0.3711,1.0685,0.7695,0.0537,0.0276,0.0216,0.0951,0.0565,0.1337,0.0
m35,2.5667,0.5185,0.1931,0.4994,0.2963,0.1661,0.1261,0.2253,2.6155,0.2621,0.2967,0.1651,0.0787,0.0209,0.1096,0.3422,0.7707,0.3944,0.367,0.1369,0.1049,0.9767,1.3352,1.3593,1.6658,1.0522,1.0319,0.6905,0.607,0.778,1.3248,1.1022,0.9137,0.7735,0.5581,0.1986,0.2166,0.2884,0.6309,0.4515,1.6815,1.0858,0.0262,0.01,0.0384,0.0733,0.0566,0.1886,0.0351
m36,4.8693,0.8151,0.2001,0.7937,0.2868,0.1941,0.0463,0.3543,3.6658,0.3228,0.3052,0.2436,0.0897,0.0634,0.1135,0.4215,0.3468,0.1845,0.2405,0.0759,0.0232,1.5522,1.3735,0.6357,1.0702,0.7606,0.6796,0.5754,0.5875,1.1481,0.8684,0.7968,0.9096,0.5516,0.3285,0.2321,0.2469,0.16,0.4155,0.322,0.7898,0.55,0.0096,0.0303,0.0085,0.0611,0.0333,0.0955,0.0
m37,2.0499,0.3141,0.1121,0.6298,0.2065,0.1037,0.1138,0.1365,2.6181,0.135,0.4832,0.1419,0.0288,0.0,0.0636,0.1763,0.2931,0.2559,0.2646,0.0254,0.0,1.2317,2.1744,0.882,1.3652,0.9127,0.784,0.5878,0.4231,0.669,0.9551,0.9561,0.9753,0.4984,0.2873,0.124,0.0791,0.0535,0.4793,0.2909,0.5824,0.5125,0.0236,0.0,0.0,0.0624,0.0291,0.089,0.0478
m38,0.7926,0.4509,0.2023,0.5154,0.2355,0.3316,0.1602,0.196,0.9849,0.2289,0.1775,0.177,0.1381,0.0388,0.1148,0.2989,0.274,0.2373,0.2717,0.1324,0.0595,1.008,0.7989,0.818,1.2592,0.9057,1.04,0.6976,0.4825,0.8345,0.9809,0.9487,1.0684,0.9143,0.6808,0.3965,0.3801,0.279,0.6359,0.5336,0.7901,0.5819,0.0333,0.0186,0.0218,0.0741,0.069,0.1011,0.0
m39,1.4837,0.3541,0.2132,0.5937,0.193,0.0981,0.0635,0.1539,1.3405,0.3433,0.1143,0.1917,0.0591,0.057,0.121,0.4483,0.2061,0.3295,0.2415,0.0777,0.1093,1.1612,0.5145,1.1356,1.4301,0.9373,0.7604,0.4482,0.3954,0.9038,0.8718,0.9818,0.9835,0.6318,0.3827,0.1173,0.1626,0.1636,0.4649,0.3688,0.6755,0.7107,0.0132,0.0272,0.04,0.0476,0.0388,0.1234,0.0424
m40,1.7471,0.3414,0.1354,0.8651,0.2583,0.1075,0.1415,0.1484,1.9834,0.2167,0.4538,0.2496,0.0775,0.0138,0.0768,0.283,0.1291,0.357,0.2509,0.0552,0.0436,1.692,2.0422,1.2304,1.4911,1.0734,1.1816,1.0575,0.5292,1.1766,0.9057,1.1245,0.978,0.7464,0.5344,0.1285,0.2131,0.1163,0.7224,0.4356,0.7847,0.4806,0.0294,0.0066,0.0159,0.1123,0.0542,0.0835,0.0
m41,2.3185,0.5046,1.3903,0.5936,0.2174,0.078,0.0381,0.2193,3.6042,0.1431,0.2431,0.1838,0.0328,0.0496,0.7889,0.1869,0.261,0.3667,0.3715,0.0512,0.0286,1.161,1.0941,1.2637,0.8588,0.5912,0.56,0.5435,0.4454,0.8662,1.3412,0.6193,0.7884,0.6329,0.4072,0.0933,0.0902,0.1079,0.3424,0.3694,0.5608,0.6233,0.0079,0.0237,0.0105,0.0577,0.0413,0.1083,0.0381
m42,3.9485,0.8869,0.4493,0.8853,0.3152,0.1396,0.0948,0.3854,3.6909,0.2861,0.3209,0.2612,0.0672,0.009,0.2549,0.3735,0.5452,0.312,0.2625,0.2428,0.1957,1.7314,1.4441,1.0752,1.3894,0.8721,0.6875,0.5076,0.6456,1.2314,0.9478,0.9136,0.9761,0.6418,0.3911,0.167,0.185,0.5117,0.4204,0.3746,0.7296,0.4628,0.0197,0.0043,0.0716,0.0539,0.0396,0.0804,0.0
m43,1.5751,0.2469,0.3925,0.7824,0.2767,0.1186,0.1639,0.1073,0.665,0.2204,0.355,0.2382,0.0564,0.1511,0.2227,0.2877,0.2374,0.232,0.3144,0.096,0.2706,1.5302,1.5973,0.7994,1.3774,0.8661,0.6677,1.1127,0.5668,1.1228,1.1349,0.9072,1.079,0.7792,0.9457,0.1418,0.1551,0.2022,0.4082,0.4548,0.8065,0.7306,0.034,0.0722,0.0991,0.1182,0.0959,0.1269,0.0902
