date,day as a number,Case management and quarantine-Isolation of case-Not applicable,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Closure of educational institutions-Secondary School,International travel-Quarantine for international travellers-Not applicable,Hygiene and safety measure-Other-Not applicable,Hygiene and safety measure-Protective mask use community-Closed public spaces,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Public gathering restriction-Outdoor over 50,Case management and quarantine-Contact tracing-Mobile technology,Case management and quarantine-Contact tracing-Not applicable,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Stay at home orders-Not applicable,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Closure of educational institutions-Primary School,Internal travel-Travel restrictions-Other,Internal travel-Other-Not applicable,Hygiene and safety measure-Protective mask use community-All public spaces,General-Activate incident emergency management system-Not applicable,Physical distancing-Closure of educational institutions-Other,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,Case management and quarantine-Quarantine-For contacts,Physical distancing-Workplace measures-Teleworking,Physical distancing-Closure of public spaces-Restaurants cafes,Hygiene and safety measure-Protective mask use community-Other,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Public gathering restriction-Indoor over 1000,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Public gathering restriction-Other,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,International travel-Border screening-Other,Physical distancing-Workplace measures-Closure of workplaces,Internal travel-Travel advice-Not applicable,International travel-Other-Not applicable
2020-06-22,113,2,0,1,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-23,114,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-24,115,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-25,116,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-26,117,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-27,118,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-28,119,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-29,120,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-30,121,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-01,122,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-02,123,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-03,124,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-04,125,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-05,126,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-06,127,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-07,128,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-08,129,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-09,130,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-10,131,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-11,132,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-12,133,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-13,134,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-14,135,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-15,136,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-16,137,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-17,138,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-18,139,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-19,140,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-20,141,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-21,142,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-22,143,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-23,144,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-24,145,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-25,146,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-26,147,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-27,148,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-28,149,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-29,150,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-30,151,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-31,152,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-08-01,153,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-08-02,154,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,155,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-04,156,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-05,157,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,158,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-07,159,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-08,160,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,161,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,162,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-11,163,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-12,164,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-13,165,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-14,166,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-15,167,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,168,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,169,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,170,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-19,171,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-20,172,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-21,173,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,174,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,175,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,176,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-25,177,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-26,178,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-27,179,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-28,180,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,181,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,182,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,183,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,184,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-02,185,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,186,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-04,187,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-05,188,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-06,189,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,190,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-08,191,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-09,192,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-10,193,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-11,194,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-12,195,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,196,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,197,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-15,198,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-16,199,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,200,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-18,201,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-19,202,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,203,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-21,204,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22,205,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-23,206,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-24,207,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-25,208,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,209,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,210,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,211,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-29,212,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,213,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,214,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,215,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,216,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,217,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,218,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,219,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-07,220,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-08,221,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,222,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,223,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,224,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,225,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,226,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-14,227,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,228,2,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-16,229,2,1,0,0,0,2,2,2,0,2,0,1,0,1,0,0,0,0,0,2,2,0,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,230,2,1,0,0,0,2,2,2,0,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,231,2,1,0,0,0,2,2,2,0,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,232,2,1,0,0,0,2,2,0,0,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-20,233,2,1,0,0,0,2,2,0,0,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-21,234,2,1,0,0,0,2,2,0,0,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-22,235,2,1,0,0,0,2,2,0,2,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-23,236,2,1,0,0,0,2,2,0,2,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-24,237,2,1,0,0,0,2,2,0,2,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-25,238,2,1,0,0,0,2,2,0,2,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-26,239,2,1,0,0,0,2,2,0,2,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0
2020-10-27,240,2,1,0,0,0,2,2,0,2,2,0,1,0,1,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0
2020-10-28,241,2,1,0,0,0,2,2,0,2,2,2,1,0,2,1,0,0,0,0,2,2,0,0,2,0,1,1,2,0,1,2,0,0,0,0,2,1,2,0,0,0,0,0
2020-10-29,242,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-10-30,243,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-10-31,244,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-11-01,245,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-11-02,246,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-11-03,247,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-11-04,248,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-11-05,249,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
2020-11-06,250,2,1,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
